Date,A0,D1,D2
2014-01-08,1383.7089298818294,-152.0663022377264,4.769102456405989
2014-01-09,1383.7089298818294,-152.0663022377264,-7.995710137111871
2014-01-10,1383.7089298818294,-152.0663022377264,5.3059928318231755
2014-01-13,1383.7089298818294,-152.0663022377264,1.4148122511991232
2014-01-14,1383.7089298818294,-152.0663022377264,0.7026485038214219
2014-01-15,1383.7089298818294,-152.0663022377264,-4.262355627135918
2014-01-16,1383.7089298818294,-152.0663022377264,6.702454854298139
2014-01-17,1383.7089298818294,-152.0663022377264,-4.25769039926405
2014-01-21,1383.7089298818294,-152.0663022377264,2.6264262653056107
2014-01-22,1383.7089298818294,-152.0663022377264,5.6343717092209715
2014-01-23,1383.7089298818294,-152.0663022377264,-0.9271513850162023
2014-01-24,1383.7089298818294,-152.0663022377264,-0.5672110960174734
2014-01-27,1383.7089298818294,-152.0663022377264,0.7745516021518313
2014-01-28,1383.7089298818294,-152.0663022377264,-5.156054735735154
2014-01-29,1383.7089298818294,-152.0663022377264,-1.9336636047655986
2014-01-30,1383.7089298818294,-152.0663022377264,0.6463087840415938
2014-01-31,1383.7089298818294,-152.0663022377264,0.039397975436259
2014-02-03,1383.7089298818294,-152.0663022377264,1.5060125888612674
2014-02-04,1383.7089298818294,-152.0663022377264,10.427299292790934
2014-02-05,1383.7089298818294,-152.0663022377264,-6.188036289487087
2014-02-06,1383.7089298818294,-152.0663022377264,7.239515091023378
2014-02-07,1383.7089298818294,-152.0663022377264,-6.006552556537827
2014-02-10,1383.7089298818294,-152.0663022377264,-9.73967199706459
2014-02-11,1383.7089298818294,-152.0663022377264,-5.047674852714579
2014-02-12,1383.7089298818294,-152.0663022377264,3.8479466305998073
2014-02-13,1383.7089298818294,-152.0663022377264,-2.650800579610859
2014-02-14,1383.7089298818294,-152.0663022377264,5.50849586170159
2014-02-18,1383.7089298818294,-152.0663022377264,-2.425054457426427
2014-02-19,1383.7089298818294,-152.0663022377264,9.533799626327465
2014-02-20,1383.7089298818294,-152.0663022377264,-2.8120193125221533
2014-02-21,1383.7089298818294,-152.0663022377264,1.542337979887094
2014-02-24,1383.7089298818294,-152.0663022377264,-8.959451728667204
2014-02-25,1383.7089298818294,-152.0663022377264,6.04545434206193
2014-02-26,1383.7089298818294,-152.0663022377264,-2.9518255225900987
2014-02-27,1383.7089298818294,-152.0663022377264,-1.1020466348640525
2014-02-28,1383.7089298818294,-152.0663022377264,-8.353840205666273
2014-03-03,1383.7089298818294,-152.0663022377264,1.0907590176925055
2014-03-04,1383.7089298818294,-152.0663022377264,4.974943759087893
2014-03-05,1383.7089298818294,-152.0663022377264,-10.095869223461875
2014-03-06,1383.7089298818294,-152.0663022377264,2.130737257008178
2014-03-07,1383.7089298818294,-152.0663022377264,5.2320165721938565
2014-03-10,1383.7089298818294,-152.0663022377264,2.4687125624172666
2014-03-11,1383.7089298818294,-152.0663022377264,-2.2939645480558113
2014-03-12,1383.7089298818294,-152.0663022377264,-7.299872942871161
2014-03-13,1383.7089298818294,-152.0663022377264,-0.11106351494393607
2014-03-14,1383.7089298818294,-152.0663022377264,0.3572531519066615
2014-03-17,1383.7089298818294,-152.0663022377264,5.439989376893436
2014-03-18,1383.7089298818294,-152.0663022377264,-7.663465291525199
2014-03-19,1383.7089298818294,-152.0663022377264,8.181476523139764
2014-03-20,1383.7089298818294,-152.0663022377264,5.81265600323735
2014-03-21,1383.7089298818294,-152.0663022377264,0.18046271346076992
2014-03-24,1383.7089298818294,-152.0663022377264,-1.7676636964219767
2014-03-25,1383.7089298818294,-152.0663022377264,-3.269389653280058
2014-03-26,1383.7089298818294,-152.0663022377264,5.590590134282479
2014-03-27,1383.7089298818294,-152.0663022377264,-2.1187449488838013
2014-03-28,1383.7089298818294,-152.0663022377264,-1.3731088546007584
2014-03-31,1383.7089298818294,-152.0663022377264,-1.8875145854803463
2014-04-01,1383.7089298818294,-152.0663022377264,-4.726668832214415
2014-04-02,1383.7089298818294,-152.0663022377264,-4.772402499229287
2014-04-03,1383.7089298818294,-152.0663022377264,0.6417080183733219
2014-04-04,1383.7089298818294,-152.0663022377264,1.1132589715184622
2014-04-07,1383.7089298818294,-152.0663022377264,-2.255741273204052
2014-04-08,1383.7089298818294,-152.0663022377264,9.826747699110655
2014-04-09,1383.7089298818294,-152.0663022377264,4.271264802394029
2014-04-10,1383.7089298818294,-152.0663022377264,-7.326675325761244
2014-04-11,1383.7089298818294,-152.0663022377264,-0.8185736103938268
2014-04-14,1383.7089298818294,-152.0663022377264,-1.262132567576458
2014-04-15,1383.7089298818294,-152.0663022377264,-1.304124135474467
2014-04-16,1383.7089298818294,-152.0663022377264,1.6035629415844994
2014-04-17,1383.7089298818294,-152.0663022377264,-8.397657521211585
2014-04-21,1383.7089298818294,-152.0663022377264,6.705442416287951
2014-04-22,1383.7089298818294,-152.0663022377264,-8.092528861339417
2014-04-23,1383.7089298818294,-152.0663022377264,-3.7811973753552195
2014-04-24,1383.7089298818294,-152.0663022377264,-3.0898534691217776
2014-04-25,1383.7089298818294,-152.0663022377264,-0.26882160954752976
2014-04-28,1383.7089298818294,-152.0663022377264,3.1038669271216577
2014-04-29,1383.7089298818294,-152.0663022377264,5.127503899376762
2014-04-30,1383.7089298818294,-152.0663022377264,-0.12250406764155741
2014-05-01,1383.7089298818294,-152.0663022377264,6.860482638540958
2014-05-02,1383.7089298818294,-152.0663022377264,4.5354441290390355
2014-05-05,1383.7089298818294,-152.0663022377264,-2.5805746191398384
2014-05-06,1383.7089298818294,-152.0663022377264,0.176409096994945
2014-05-07,1383.7089298818294,-152.0663022377264,-4.001128289434348
2014-05-08,1383.7089298818294,-152.0663022377264,5.257375986127784
2014-05-09,1383.7089298818294,-152.0663022377264,9.290332030521682
2014-05-12,1383.7089298818294,-152.0663022377264,-4.720593245303661
2014-05-13,1383.7089298818294,-152.0663022377264,-5.262034412904569
2014-05-14,1383.7089298818294,-152.0663022377264,2.6284795983084734
2014-05-15,1383.7089298818294,-152.0663022377264,4.181161689928274
2014-05-16,1383.7089298818294,-152.0663022377264,-3.4250979147051623
2014-05-19,1383.7089298818294,-152.0663022377264,1.059140754923959
2014-05-20,1383.7089298818294,-152.0663022377264,0.9257978388508548
2014-05-21,1383.7089298818294,-152.0663022377264,1.7779065512553416
2014-05-22,1383.7089298818294,-152.0663022377264,-2.415641853743324
2014-05-23,1383.7089298818294,-152.0663022377264,-3.2693826206213146
2014-05-27,1383.7089298818294,-152.0663022377264,6.248044920072289
2014-05-28,1383.7089298818294,-152.0663022377264,-9.59089760399425
2014-05-29,1383.7089298818294,-152.0663022377264,6.182235862647445
2014-05-30,1383.7089298818294,-152.0663022377264,1.0900486930274553
2014-06-02,1383.7089298818294,-152.0663022377264,-6.046779873906246
2014-06-03,1383.7089298818294,-152.0663022377264,5.992553279105152
2014-06-04,1383.7089298818294,-152.0663022377264,0.5210124117670034
2014-06-05,1383.7089298818294,-152.0663022377264,-5.623351193038161
2014-06-06,1383.7089298818294,-152.0663022377264,5.321219464536057
2014-06-09,1383.7089298818294,-152.0663022377264,-6.153398997549658
2014-06-10,1383.7089298818294,-152.0663022377264,7.791680569070309
2014-06-11,1383.7089298818294,-152.0663022377264,0.8749289479815445
2014-06-12,1383.7089298818294,-152.0663022377264,1.2354782684079453
2014-06-13,1383.7089298818294,-152.0663022377264,0.9667247531753276
2014-06-16,1383.7089298818294,-152.0663022377264,6.092484331551702
2014-06-17,1383.7089298818294,-152.0663022377264,0.6067720676632007
2014-06-18,1383.7089298818294,-152.0663022377264,-7.551176485841097
2014-06-19,1383.7089298818294,-152.0663022377264,3.6150186214306643
2014-06-20,1383.7089298818294,-152.0663022377264,1.345600547415728
2014-06-23,1383.7089298818294,-152.0663022377264,2.647762915237962
2014-06-24,1383.7089298818294,-152.0663022377264,-3.727707351459003
2014-06-25,1383.7089298818294,-152.0663022377264,1.8867896428301947
2014-06-26,1383.7089298818294,-152.0663022377264,3.247395127524186
2014-06-27,1383.7089298818294,-152.0663022377264,2.416919053241884
2014-06-30,1383.7089298818294,-152.0663022377264,0.8109635414871263
2014-07-01,1383.7089298818294,-152.0663022377264,3.085990274180972
2014-07-02,1383.7089298818294,-152.0663022377264,-5.3437473057404645
2014-07-03,1383.7089298818294,-152.0663022377264,-2.024871707007321
2014-07-07,1383.7089298818294,-152.0663022377264,-4.316127279401627
2014-07-08,1383.7089298818294,-152.0663022377264,-6.428989268398794
2014-07-09,1383.7089298818294,-152.0663022377264,10.448259489414824
2014-07-10,1383.7089298818294,-152.0663022377264,-1.0869875939565077
2014-07-11,1383.7089298818294,-152.0663022377264,-4.683014780780184
2014-07-14,1383.7089298818294,-152.0663022377264,2.372262194121703
2014-07-15,1383.7089298818294,-152.0663022377264,-5.851906894774402
2014-07-16,1383.7089298818294,-152.0663022377264,2.334827564537335
2014-07-17,1383.7089298818294,-152.0663022377264,-7.023684057827751
2014-07-18,1383.7089298818294,-152.0663022377264,0.9571111431732504
2014-07-21,1383.7089298818294,-152.0663022377264,-5.994571796691929
