Date,A0,D1,D2,D3
2018-05-04,1999.437839698482,-385.31305433731643,3.8633780467969245,-4.538584870701612
2018-05-07,1999.437839698482,-385.31305433731643,9.674871866740716,-9.67535993759978
2018-05-08,1999.437839698482,-385.31305433731643,-22.07669181282725,7.2876130963298635
2018-05-09,1999.437839698482,-385.31305433731643,12.570433065500453,-2.089424199780524
2018-05-10,1999.437839698482,-385.31305433731643,12.373624689153047,-0.002310399909674743
2018-05-11,1999.437839698482,-385.31305433731643,-22.179156783894882,6.2225354954516945
2018-05-14,1999.437839698482,-385.31305433731643,15.092327653446631,-11.583280279664166
2018-05-15,1999.437839698482,-385.31305433731643,-9.916701525026866,-2.3461676465253163
2018-05-16,1999.437839698482,-385.31305433731643,14.88137697037996,-1.59090279818912
2018-05-17,1999.437839698482,-385.31305433731643,-31.48507539440189,4.585585934691153
2018-05-18,1999.437839698482,-385.31305433731643,1.1138323107344092,5.108397170223327
2018-05-21,1999.437839698482,-385.31305433731643,-1.8226769825941176,-5.152353716425438
2018-05-22,1999.437839698482,-385.31305433731643,4.698930589869235,-7.0397901328998955
2018-05-23,1999.437839698482,-385.31305433731643,14.99815349067623,3.829516269541415
2018-05-24,1999.437839698482,-385.31305433731643,-9.827436342339496,11.176518146741074
2018-05-25,1999.437839698482,-385.31305433731643,5.440963774149651,7.099640298879052
2018-05-29,1999.437839698482,-385.31305433731643,-3.2719016137783967,-6.259643105116538
2018-05-30,1999.437839698482,-385.31305433731643,14.668969065942008,0.07563739652863433
2018-05-31,1999.437839698482,-385.31305433731643,-17.561077197319094,11.950667230544695
2018-06-01,1999.437839698482,-385.31305433731643,6.377914003600438,-6.026280892889048
2018-06-04,1999.437839698482,-385.31305433731643,1.3485802659693888,-2.3109457940007303
2018-06-05,1999.437839698482,-385.31305433731643,-18.74543929832484,-1.4622090164606618
2018-06-06,1999.437839698482,-385.31305433731643,3.7662469087784984,7.274389748519241
2018-06-07,1999.437839698482,-385.31305433731643,20.330252373820656,-6.391080435725172
2018-06-08,1999.437839698482,-385.31305433731643,-8.466318693657229,9.95277212006448
2018-06-11,1999.437839698482,-385.31305433731643,20.569745494036994,-7.49379162057636
2018-06-12,1999.437839698482,-385.31305433731643,1.210932371060352,4.8835669746100905
2018-06-13,1999.437839698482,-385.31305433731643,35.70948905324053,0.027031625353004074
2018-06-14,1999.437839698482,-385.31305433731643,-18.399320263684757,4.105941171556992
2018-06-15,1999.437839698482,-385.31305433731643,12.900087728996368,-2.798674458051835
2018-06-18,1999.437839698482,-385.31305433731643,1.5539295195232796,-0.05853075561222454
2018-06-19,1999.437839698482,-385.31305433731643,9.856055120221527,-3.7824815328837644
2018-06-20,1999.437839698482,-385.31305433731643,20.77221538734554,5.789652326481416
2018-06-21,1999.437839698482,-385.31305433731643,-5.794363777181331,-11.348060288246216
2018-06-22,1999.437839698482,-385.31305433731643,30.465763299210494,13.28332013028185
2018-06-25,1999.437839698482,-385.31305433731643,-0.2145308606769447,7.904323010037842
2018-06-26,1999.437839698482,-385.31305433731643,5.729897990148601,0.31258235441873694
2018-06-27,1999.437839698482,-385.31305433731643,-7.119371062853702,6.072473507972006
2018-06-28,1999.437839698482,-385.31305433731643,-7.2752629401136915,-11.12524411926907
2018-06-29,1999.437839698482,-385.31305433731643,10.978193929412754,0.1811402746532167
2018-07-02,1999.437839698482,-385.31305433731643,-2.0407474542089403,1.5887849506697762
2018-07-03,1999.437839698482,-385.31305433731643,4.262948813945485,-4.606026522686733
